Team,Team Url
Brommapojkarna,f-brommapojkarna
AIK,https://data-20ca4.kxcdn.com/teamImages%2FAIK%2Flo739j5e-aik.png?width=100
BK Häcken,https://data-20ca4.kxcdn.com/teamImages%2FBKH%2Flo70ljkw-bkh.png?width=100
Degerfors IF,https://data-20ca4.kxcdn.com/teamImages%2FDEIF%2Flo70mdul-deif.png?width=100
Djurgårdens IF,https://data-20ca4.kxcdn.com/teamImages%2FDIF%2Flo8dlmz8-Djurgrden.png?width=100
GAIS,https://data-20ca4.kxcdn.com/teamImages%2FGAIS%2Flo72z1bx-gais.png?width=100
Halmstads BK,https://data-20ca4.kxcdn.com/teamImages%2FHBK%2Flo70nff2-hbk.png?width=100
Hammarby IF,https://data-20ca4.kxcdn.com/teamImages%2FHAM%2Flopo2qqr-hammarby-2.png?width=100
IF Elfsborg,https://data-20ca4.kxcdn.com/teamImages%2FIFE%2Flo70p360-ife.png?width=100
IFK Göteborg,https://data-20ca4.kxcdn.com/teamImages%2FGBG%2Flo8dlo50-ifkgoteborgfotboll.png?width=100
IK Sirius,https://data-20ca4.kxcdn.com/teamImages%2FIKS%2Flo70q4e1-iks.png?width=100
Kalmar FF,https://data-20ca4.kxcdn.com/teamImages%2FKFF%2Flg28qjru-kalmarff_2023_emblem.png?width=100
Malmö FF,https://data-20ca4.kxcdn.com/teamImages%2FMFF%2Flo70qypl-mff.png?width=100
Mjällby AIF,https://data-20ca4.kxcdn.com/teamImages%2FMAIF%2Flsbc2d2-Mjallby.png?width=100
Västerås SK,https://data-20ca4.kxcdn.com/teamImages%2FVSK%2Fllcaaiyn-vsk.png?width=100
Örgryte IS,https://data-20ca4.kxcdn.com/teamImages%2FOIS%2Fme1h9yq7-ois2026.png?width=100
